transactionslist,cnt
"tv,tv,tv,vacuum,vacuum,vacuum,vacuum",2
"printer,tv",2
"blanket,smartphone,smartphone,headphone",2
"washer,mixer,mixer",2
"smartphone,scales,smartphone,smartphone",2
"smartphone,notebook,notebook",2
"smartphone,smartphone,blender",2
"clocks,clocks,smartphone,smartphone,clocks,clocks,clocks,clocks",2
"microwave,washer,smartphone,vacuum,smartphone",2
"water_heater,vacuum,smartphone",2
"player,smartphone,smartphone",2
"smartphone,iron,tv",2
"tv,water_heater",2
"monitor,monitor,monitor,monitor,monitor",2
"smartphone,tablet,tablet,tablet,tablet,monitor,smartphone,smartphone",2
"smartphone,keds,smartphone,smartphone",2
"microwave,washer,washer",2
"smartphone,telephone,smartphone,smartphone",2
"smartphone,air_conditioner,tv",2
"smartphone,microwave,blender",2
"clocks,subwoofer",2
"smartphone,smartphone,washer,desktop,desktop",2
"smartphone,smartphone,notebook,smartphone,smartphone",2
"refrigerators,tv,washer,washer",2
"smartphone,smartphone,smartphone,smartphone,kettle,kettle",2
"smartphone,tablet,tablet,desktop",2
"smartphone,smartphone,toys",2
"smartphone,smartphone,bed",2
"smartphone,smartphone,refrigerators,refrigerators,refrigerators,refrigerators",2
"tv,meat_grinder,meat_grinder,tv",2
"blender,vacuum,vacuum,microwave,microwave",2
"tv,smartphone,microwave",2
"headphone,headphone,bed",2
"smartphone,smartphone,smartphone,jeans",2
"notebook,smartphone,notebook,smartphone,smartphone,smartphone",2
"vacuum,clocks,smartphone",2
"desktop,desktop,smartphone,smartphone",2
"tv,tv,tv,tv,tv,tv,tv",2
"microwave,headphone",2
"oven,hob,hood",2
"vacuum,vacuum,tv",2
"washer,vacuum,kettle",2
"hdd,hdd,memory",2
"dolls,smartphone,smartphone,juicer,notebook",2
"microwave,oven,refrigerators",2
"washer,vacuum,microwave",2
"smartphone,printer",2
"vacuum,washer,microwave",2
"smartphone,cabinet",2
"vacuum,clocks",2
"smartphone,smartphone,water_heater",2
"tv,tv,cabinet,cabinet",2
"vacuum,vacuum,mixer,iron,iron,iron,sewing_machine,sewing_machine",2
"headphone,tablet",2
"smartphone,player,smartphone",2
"acoustic,acoustic",2
"tablet,tablet,telephone,telephone",2
"blender,smartphone",2
"smartphone,ironing_board",2
"smartphone,smartphone,washer,refrigerators,refrigerators,refrigerators,washer",2
"tv,grill",2
"tv,air_conditioner",2
"refrigerators,refrigerators,telephone",2
"smartphone,desktop,desktop",2
"smartphone,tablet,tablet,tablet,smartphone",2
"air_heater,smartphone",2
"notebook,tablet,smartphone",2
"smartphone,generator",2
"bicycle,bicycle,smartphone,smartphone",2
"tv,tv,washer,washer",2
"video,clocks,clocks",2
"tv,smartphone,smartphone,tv",2
"notebook,notebook,notebook,smartphone",2
"refrigerators,washer,dishwasher",2
"smartphone,smartphone,acoustic",2
"smartphone,smartphone,printer",2
"refrigerators,refrigerators,tv,tv,tv,vacuum,vacuum",2
"vacuum,water_heater",2
"monitor,monitor,monitor,monitor",2
"notebook,printer",2
"vacuum,vacuum,telephone",2
"headphone,tv",2
"refrigerators,headphone,headphone",2
"clocks,smartphone,smartphone,clocks",2
"air_conditioner,tv,tv",2
"meat_grinder,meat_grinder,tv,tv",2
"tv,microwave,blender,tv",2
"washer,washer,washer,washer,washer,washer,washer,washer,washer,washer,bed,bed,washer,washer",2
"washer,air_heater",2
"air_conditioner,tv,smartphone,smartphone",2
"tv,tv,hob",2
"smartphone,smartphone,smartphone,video,vacuum",2
"vacuum,sewing_machine",2
"smartphone,notebook,notebook,desktop,smartphone",2
"smartphone,iron,iron",2
"washer,player",2
"smartphone,vacuum,kettle",2
"water_heater,smartphone",2
"tablet,clocks",2
"tv,generator",2
"smartphone,smartphone,telephone,smartphone,smartphone",2
"vacuum,smartphone,smartphone,washer",2
"vacuum,headphone",2
"notebook,notebook,tv",2
"tv,smartphone,smartphone,smartphone,smartphone,smartphone,oven,oven",2
"tablet,telephone",2
"refrigerators,refrigerators,vacuum",2
"vacuum,blender",2
"smartphone,notebook,washer",2
"smartphone,sewing_machine,sewing_machine",2
